No.,Name,Time (ms),Timegap (ms),Duration,Gaze X,Gaze Y,Pupil Diameter Left (mm),Pupil Diameter Right (mm),X-offset,Y-offset,Mouse X-coord,Mouse Y-coord,AOI,Left Eye X,Left Eye Y,Right Eye X,Right Eye Y,Detection
1,Teste 12,0,0,0,481,254,"4,94","5,13",0,0,589,298,1,0,0,0,0,
2,Teste 12,17,17,17,474,256,"4,99","5,15",0,0,589,298,1,0,0,0,0,
3,Teste 12,33,17,17,469,239,"4,92","5,2",0,0,589,298,1,0,0,0,0,
4,Teste 12,50,17,17,472,240,"4,94","5,13",0,0,589,298,1,0,0,0,0,
5,Teste 12,67,17,17,470,262,"4,97","5,13",0,0,589,298,1,0,0,0,0,
6,Teste 12,83,17,17,469,260,"4,92","5,13",0,0,589,298,1,0,0,0,0,
7,Teste 12,100,17,17,466,265,"4,99","5,1",0,0,589,298,1,0,0,0,0,
8,Teste 12,116,17,17,468,254,"4,97","5,18",0,0,589,298,1,0,0,0,0,
9,Teste 12,133,17,17,474,251,"4,99","5,17",0,0,589,298,1,0,0,0,0,
10,Teste 12,150,17,17,474,254,"4,96","5,15",0,0,589,298,1,0,0,0,0,
11,Teste 12,166,17,17,468,262,"5,01","5,13",0,0,589,298,1,0,0,0,0,
12,Teste 12,183,17,17,470,258,"5,05","5,18",0,0,589,298,1,0,0,0,0,
13,Teste 12,200,17,17,463,267,"4,97","5,15",0,0,589,298,1,0,0,0,0,
14,Teste 12,216,17,17,471,242,"4,99","5,17",0,0,589,298,1,0,0,0,0,
15,Teste 12,233,17,17,461,272,"4,99","5,15",0,0,589,298,1,0,0,0,0,
16,Teste 12,250,17,17,462,270,"5,02","5,21",0,0,589,298,1,0,0,0,0,
17,Teste 12,266,17,17,462,281,"5,01","5,18",0,0,589,298,-,0,0,0,0,
18,Teste 12,283,17,17,468,275,"5,04","5,23",0,0,589,298,1,0,0,0,0,
19,Teste 12,299,17,17,465,274,"5,07","5,26",0,0,589,298,1,0,0,0,0,
20,Teste 12,316,17,17,468,263,"5,05","5,17",0,0,589,298,1,0,0,0,0,
21,Teste 12,333,17,17,464,264,"4,99","5,15",0,0,589,298,1,0,0,0,0,
22,Teste 12,349,17,17,463,276,"5,04","5,17",0,0,589,298,1,0,0,0,0,
23,Teste 12,366,17,17,457,267,"4,99","5,2",0,0,589,298,1,0,0,0,0,
24,Teste 12,383,17,17,464,255,"4,97","5,18",0,0,589,298,1,0,0,0,0,
25,Teste 12,399,17,17,473,252,"4,99","5,28",0,0,589,298,1,0,0,0,0,
26,Teste 12,416,17,17,464,248,"4,91","5,17",0,0,589,298,1,0,0,0,0,
27,Teste 12,433,17,17,468,248,"4,94","5,2",0,0,589,298,1,0,0,0,0,
28,Teste 12,449,17,17,463,258,"4,91","5,15",0,0,589,298,1,0,0,0,0,
29,Teste 12,466,17,17,468,251,"4,92","5,13",0,0,589,298,1,0,0,0,0,
30,Teste 12,482,17,17,463,265,"4,97","5,12",0,0,589,298,1,0,0,0,0,
31,Teste 12,499,17,17,459,266,"4,91","5,1",0,0,589,298,1,0,0,0,0,
32,Teste 12,516,17,17,461,263,"4,91","5,07",0,0,589,298,1,0,0,0,0,
33,Teste 12,532,17,17,463,275,"4,91","5,05",0,0,589,298,1,0,0,0,0,
34,Teste 12,549,17,17,452,264,"4,89","5,01",0,0,589,298,1,0,0,0,0,
35,Teste 12,566,17,17,457,259,"4,89","5,02",0,0,589,298,1,0,0,0,0,
36,Teste 12,582,17,17,456,270,"4,86","5,05",0,0,589,298,1,0,0,0,0,
37,Teste 12,599,17,17,465,264,"4,96","5,02",0,0,589,298,1,0,0,0,0,
38,Teste 12,615,17,17,468,269,"4,91","5,05",0,0,589,298,1,0,0,0,0,
39,Teste 12,632,17,17,461,265,"4,94","5,09",0,0,589,298,1,0,0,0,0,
40,Teste 12,649,17,17,464,241,"4,88","5,1",0,0,589,298,1,0,0,0,0,
41,Teste 12,665,17,17,458,273,"4,97","5,05",0,0,589,298,1,0,0,0,0,
42,Teste 12,682,17,17,462,250,"4,92","5,02",0,0,589,298,1,0,0,0,0,
43,Teste 12,699,17,17,461,260,"4,88","5,07",0,0,589,298,1,0,0,0,0,
44,Teste 12,715,17,17,469,267,"4,96","5,1",0,0,589,298,1,0,0,0,0,
45,Teste 12,732,17,17,465,259,"5,04","5,13",0,0,589,298,1,0,0,0,0,
46,Teste 12,749,17,17,461,265,"5,02","5,13",0,0,589,298,1,0,0,0,0,
47,Teste 12,765,17,17,459,247,"4,96","5,13",0,0,589,298,1,0,0,0,0,
48,Teste 12,782,17,17,459,267,"5,04","5,15",0,0,589,298,1,0,0,0,0,
49,Teste 12,798,17,17,433,269,"5,01","5,15",0,0,589,298,1,0,0,0,0,
50,Teste 12,815,17,17,402,264,"5,05","5,15",0,0,589,298,1,0,0,0,0,
51,Teste 12,832,17,17,399,240,"5,01","5,15",0,0,589,298,1,0,0,0,0,
52,Teste 12,848,17,17,400,236,"5,01","5,25",0,0,589,298,1,0,0,0,0,
53,Teste 12,865,17,17,397,234,"4,99","5,21",0,0,589,298,1,0,0,0,0,
54,Teste 12,882,17,17,392,255,"5,07","5,23",0,0,589,298,1,0,0,0,0,
55,Teste 12,898,17,17,395,246,"5,05","5,26",0,0,589,298,1,0,0,0,0,
56,Teste 12,915,17,17,400,243,"5,09","5,25",0,0,589,298,1,0,0,0,0,
57,Teste 12,932,17,17,400,252,"5,04","5,25",0,0,589,298,1,0,0,0,0,
58,Teste 12,948,17,17,395,250,"5,05","5,23",0,0,589,298,1,0,0,0,0,
59,Teste 12,965,17,17,395,244,"5,1","5,26",0,0,589,298,1,0,0,0,0,
60,Teste 12,981,17,17,397,238,"5,07","5,25",0,0,589,298,1,0,0,0,0,
61,Teste 12,998,17,17,392,250,"5,04","5,21",0,0,589,298,1,0,0,0,0,
62,Teste 12,1015,17,17,399,236,"5,05","5,18",0,0,589,298,1,0,0,0,0,
63,Teste 12,1031,17,17,398,252,"5,1","5,2",0,0,589,298,1,0,0,0,0,
64,Teste 12,1048,17,17,392,242,"5,09","5,31",0,0,589,298,1,0,0,0,0,
65,Teste 12,1065,17,17,399,233,"5,05","5,29",0,0,589,298,1,0,0,0,0,
66,Teste 12,1081,17,17,367,256,"5,1","5,31",0,0,589,298,1,0,0,0,0,
67,Teste 12,1098,17,17,343,260,"5,07","5,29",0,0,589,298,1,0,0,0,0,
68,Teste 12,1115,17,17,339,261,"5,1","5,28",0,0,589,298,1,0,0,0,0,
69,Teste 12,1131,17,17,328,268,"5,09","5,28",0,0,589,298,-,0,0,0,0,
70,Teste 12,1148,17,17,340,262,"5,1","5,31",0,0,589,298,1,0,0,0,0,
71,Teste 12,1164,17,17,341,258,"5,1","5,31",0,0,589,298,1,0,0,0,0,
