No.,Name,Time (ms),Timegap (ms),Duration,Gaze X,Gaze Y,Pupil Diameter Left (mm),Pupil Diameter Right (mm),X-offset,Y-offset,Mouse X-coord,Mouse Y-coord,AOI,Left Eye X,Left Eye Y,Right Eye X,Right Eye Y,Eye-Tracker ID,Detection,Distancia_px,Velocidade_px_s,Evento_Cognitivo
1,TESTE 27,0,,0,776.0,845.0,3.9,4.27,0,0,512,384,,0,0,0,0,-1,,,,Indefinido
2,TESTE 27,17,17.0,17,788.0,842.0,3.93,4.19,0,0,512,384,,0,0,0,0,-1,,3.1841621957571355,187.30365857394915,Fixação
3,TESTE 27,33,17.0,17,789.0,837.0,3.87,4.2,0,0,512,384,,0,0,0,0,-1,,1.7950549357114942,105.59146680655849,Fixação
4,TESTE 27,50,17.0,17,781.0,843.0,3.95,4.19,0,0,512,384,,0,0,0,0,-1,,0.6666666666667425,39.21568627451426,Fixação
5,TESTE 27,67,17.0,17,788.0,844.0,3.9,4.25,0,0,512,384,,0,0,0,0,-1,,2.23606797749979,131.5334104411641,Fixação
6,TESTE 27,83,17.0,17,783.0,840.0,3.96,4.24,0,0,512,384,,0,0,0,0,-1,,4.921607686744518,289.5063345143834,Fixação
7,TESTE 27,100,17.0,17,794.0,836.0,3.99,4.25,0,0,512,384,,0,0,0,0,-1,,1.9436506316150677,114.33239009500399,Fixação
8,TESTE 27,116,17.0,17,793.0,841.0,4.01,4.15,0,0,512,384,,0,0,0,0,-1,,1.3743685418725995,80.84520834544703,Fixação
9,TESTE 27,133,17.0,17,787.0,841.0,4.01,4.22,0,0,512,384,,0,0,0,0,-1,,4.484541349024598,263.7965499426234,Fixação
10,TESTE 27,150,17.0,17,784.0,845.0,4.04,4.24,0,0,512,384,,0,0,0,0,-1,,3.681787005729042,216.5757062193554,Fixação
11,TESTE 27,166,17.0,17,782.0,842.0,4.04,4.2,0,0,512,384,,0,0,0,0,-1,,0.7453559924998622,43.844470147050714,Fixação
12,TESTE 27,183,17.0,17,789.0,840.0,3.99,-1.0,0,0,512,384,,0,0,0,0,-1,,6.009252125773337,353.48541916313746,Fixação
13,TESTE 27,200,17.0,17,794.0,830.0,-1.0,-1.0,0,0,512,384,,0,0,0,0,-1,,46.77144322377249,2751.261366104264,Sacada
14,TESTE 27,383,183.0,183,878.0,739.6666666666666,0.0,-1.0,0,0,512,384,,0,0,0,0,-1,,85.81813961173795,468.951582577803,Fixação
15,TESTE 27,399,17.0,17,962.0,649.3333333333334,0.0,-1.0,0,0,512,384,,0,0,0,0,-1,,123.3536019381319,7256.094231654818,Sacada
16,TESTE 27,416,17.0,17,1046.0,559.0,4.52,-1.0,0,0,512,384,,0,0,0,0,-1,,81.7356473601495,4807.9792564793825,Sacada
17,TESTE 27,433,17.0,17,1047.0,562.0,4.14,-1.0,0,0,512,384,,0,0,0,0,-1,,28.037232740644686,1649.248984743805,Sacada
