No.,Name,Time (ms),Timegap (ms),Duration,Gaze X,Gaze Y,Pupil Diameter Left (mm),Pupil Diameter Right (mm),X-offset,Y-offset,Mouse X-coord,Mouse Y-coord,AOI,Left Eye X,Left Eye Y,Right Eye X,Right Eye Y,Eye-Tracker ID,Detection
1,TESTE 27,0,0,0,776.0,845.0,3.9,4.27,0,0,512,384,,0,0,0,0,-1,
2,TESTE 27,17,17,17,788.0,842.0,3.93,4.19,0,0,512,384,,0,0,0,0,-1,
3,TESTE 27,33,17,17,789.0,837.0,3.87,4.2,0,0,512,384,,0,0,0,0,-1,
4,TESTE 27,50,17,17,781.0,843.0,3.95,4.19,0,0,512,384,,0,0,0,0,-1,
5,TESTE 27,67,17,17,788.0,844.0,3.9,4.25,0,0,512,384,,0,0,0,0,-1,
6,TESTE 27,83,17,17,783.0,840.0,3.96,4.24,0,0,512,384,,0,0,0,0,-1,
7,TESTE 27,100,17,17,794.0,836.0,3.99,4.25,0,0,512,384,,0,0,0,0,-1,
8,TESTE 27,116,17,17,793.0,841.0,4.01,4.15,0,0,512,384,,0,0,0,0,-1,
9,TESTE 27,133,17,17,787.0,841.0,4.01,4.22,0,0,512,384,,0,0,0,0,-1,
10,TESTE 27,150,17,17,784.0,845.0,4.04,4.24,0,0,512,384,,0,0,0,0,-1,
11,TESTE 27,166,17,17,782.0,842.0,4.04,4.2,0,0,512,384,,0,0,0,0,-1,
12,TESTE 27,183,17,17,789.0,840.0,3.99,-1.0,0,0,512,384,,0,0,0,0,-1,
13,TESTE 27,200,17,17,794.0,830.0,-1.0,-1.0,0,0,512,384,,0,0,0,0,-1,
14,TESTE 27,383,183,183,878.0,739.6666666666666,0.0,-1.0,0,0,512,384,,0,0,0,0,-1,
15,TESTE 27,399,17,17,962.0,649.3333333333334,0.0,-1.0,0,0,512,384,,0,0,0,0,-1,
16,TESTE 27,416,17,17,1046.0,559.0,4.52,-1.0,0,0,512,384,,0,0,0,0,-1,
17,TESTE 27,433,17,17,1047.0,562.0,4.14,-1.0,0,0,512,384,,0,0,0,0,-1,
18,TESTE 27,449,17,17,1043.0,672.0,4.22,-1.0,0,0,512,384,,0,0,0,0,-1,
19,TESTE 27,466,17,17,1043.0,670.0,4.22,-1.0,0,0,512,384,,0,0,0,0,-1,
20,TESTE 27,482,17,17,1045.0,672.0,4.19,4.27,0,0,512,384,,0,0,0,0,-1,
21,TESTE 27,499,17,17,1038.0,678.0,4.24,4.24,0,0,512,384,,0,0,0,0,-1,
22,TESTE 27,516,17,17,1038.0,669.0,4.2,4.2,0,0,512,384,,0,0,0,0,-1,
23,TESTE 27,532,17,17,1064.0,687.0,4.32,4.24,0,0,512,384,,0,0,0,0,-1,
24,TESTE 27,549,17,17,1046.0,685.0,4.12,4.27,0,0,512,384,,0,0,0,0,-1,
25,TESTE 27,566,17,17,1060.0,675.0,4.25,4.2,0,0,512,384,,0,0,0,0,-1,
26,TESTE 27,582,17,17,1055.0,684.0,4.27,4.25,0,0,512,384,,0,0,0,0,-1,
27,TESTE 27,599,17,17,1051.0,681.0,4.32,4.24,0,0,512,384,,0,0,0,0,-1,
28,TESTE 27,615,17,17,1059.0,675.0,4.36,4.22,0,0,512,384,,0,0,0,0,-1,
29,TESTE 27,632,17,17,1055.0,689.0,4.32,4.3,0,0,512,384,,0,0,0,0,-1,
30,TESTE 27,649,17,17,1051.0,684.0,4.38,4.33,0,0,512,384,,0,0,0,0,-1,
31,TESTE 27,665,17,17,1042.0,685.0,4.32,4.32,0,0,512,384,,0,0,0,0,-1,
32,TESTE 27,682,17,17,1053.0,684.0,4.35,4.36,0,0,512,384,,0,0,0,0,-1,
33,TESTE 27,699,17,17,1056.0,679.0,4.4,4.35,0,0,512,384,,0,0,0,0,-1,
34,TESTE 27,715,17,17,1050.0,680.0,4.43,4.4,0,0,512,384,,0,0,0,0,-1,
35,TESTE 27,732,17,17,1048.0,671.0,4.43,4.41,0,0,512,384,,0,0,0,0,-1,
36,TESTE 27,749,17,17,1046.0,677.0,4.49,4.41,0,0,512,384,,0,0,0,0,-1,
37,TESTE 27,765,17,17,1039.0,678.0,4.4,4.36,0,0,512,384,,0,0,0,0,-1,
38,TESTE 27,782,17,17,1044.0,680.0,4.43,-1.0,0,0,512,384,,0,0,0,0,-1,
39,TESTE 27,798,17,17,922.0,388.5,0.0,-1.0,0,0,512,384,,0,0,0,0,-1,
40,TESTE 27,1264,466,466,800.0,97.0,4.89,5.1,0,0,512,384,,0,0,0,0,-1,
41,TESTE 27,1281,17,17,646.0,349.0,4.89,5.13,0,0,512,384,,0,0,0,0,-1,
42,TESTE 27,1298,17,17,542.0,410.0,4.68,5.17,0,0,512,384,,0,0,0,0,-1,
43,TESTE 27,1314,17,17,542.0,427.0,4.73,5.13,0,0,512,384,,0,0,0,0,-1,
44,TESTE 27,1331,17,17,539.0,440.0,4.7,5.09,0,0,512,384,,0,0,0,0,-1,
