Time (ms),Timegap (ms),Gaze X,Gaze Y,AOI
0,0,880,552,3
17,17,876,563,3
33,17,862,565,3
50,17,859,551,3
67,17,871,557,3
83,17,856,551,3
100,17,852,547,3
116,17,865,560,3
133,17,874,551,3
150,17,869,553,3
166,17,870,559,3
183,17,849,477,3
200,17,807,366,0
216,17,797,275,0
233,17,796,239,0
250,17,780,160,0
266,17,821,157,0
283,17,784,133,0
299,17,808,128,0
316,17,810,114,0
333,17,801,117,0
349,17,809,112,0
366,17,815,76,0
383,17,805,114,0
399,17,821,84,0
416,17,836,62,0
433,17,821,102,0
449,17,779,23,0
466,17,784,54,0
482,17,805,58,0
499,17,789,45,0
516,17,802,45,0
532,17,808,27,0
549,17,801,56,0
566,17,825,46,0
582,17,781,57,0
599,17,616,26,0
615,17,582,57,0
632,17,488,70,0
649,17,373,68,0
682,33,242,30,0
832,150,292,41,0
882,50,37,219,0
1031,150,294,13,0
1081,50,15,3,0
1414,333,114,279,0
1431,17,130,42,0
1447,17,157,82,0
1481,33,304,141,0
1497,17,426,228,1
1514,17,524,347,4
1530,17,554,377,2
1547,17,554,365,2
1564,17,538,379,2
1580,17,561,378,2
1597,17,555,380,2
1614,17,558,382,2
1630,17,543,384,2
1647,17,549,396,2
1664,17,549,381,2
1680,17,558,386,2
1697,17,536,375,2
1713,17,563,390,2
1730,17,558,376,2
1747,17,568,370,2
1763,17,557,369,2
1780,17,555,362,4
1797,17,563,353,4
1813,17,564,379,2
1830,17,578,342,4
1846,17,581,359,4
1863,17,610,321,4
1880,17,600,341,4
1896,17,599,313,4
1913,17,590,336,4
1930,17,575,324,4
1946,17,651,328,0
1963,17,578,305,4
1980,17,611,332,4
1996,17,577,337,4
2013,17,586,327,4
2029,17,610,321,4
2046,17,578,345,4
2063,17,594,348,4
2079,17,596,330,4
2096,17,584,347,4
2113,17,598,338,4
2129,17,604,336,4
2146,17,611,325,4
2163,17,597,322,4
2179,17,603,303,4
2196,17,593,300,4
2212,17,594,308,4
2229,17,592,310,4
2246,17,599,294,4
2262,17,606,312,4
2279,17,602,291,4
2296,17,587,316,4
2312,17,595,290,4
2329,17,591,305,4
2346,17,602,346,4
2362,17,597,297,4
2379,17,586,345,4
2395,17,584,321,4
2412,17,594,325,4
2429,17,577,307,4
2445,17,489,327,4
2462,17,592,324,4
2479,17,603,333,4
2495,17,586,335,4
2512,17,605,287,0
2529,17,576,308,4
2545,17,581,294,4
2562,17,494,343,4
2662,100,514,367,2
2678,17,614,178,1
2695,17,624,263,0
2712,17,631,329,0
2728,17,599,308,4
2745,17,623,292,0
2761,17,600,263,0
2778,17,625,257,1
2795,17,653,270,0
2811,17,617,289,0
2828,17,680,274,0
2845,17,580,316,4
2861,17,578,339,4
2878,17,752,270,0
2894,17,606,276,0
2911,17,619,280,0
2928,17,617,292,0
2944,17,457,433,3
2961,17,556,322,4
2978,17,522,359,4
2994,17,561,366,2
3011,17,561,370,2
3028,17,556,373,2
3044,17,559,366,2
3061,17,548,373,2
3077,17,522,356,4
3094,17,549,368,2
3111,17,555,269,0
3127,17,550,359,4
3144,17,515,360,4
3161,17,464,255,1
3177,17,497,386,2
3194,17,472,340,4
3211,17,502,307,4
3227,17,477,256,1
3244,17,472,373,2
3260,17,471,370,2
3277,17,374,419,3
3294,17,476,256,1
3310,17,478,252,1
3327,17,484,376,2
3344,17,523,279,0
3360,17,518,273,0
3377,17,519,339,4
3394,17,465,415,2
3410,17,445,353,4
3427,17,485,258,1
3443,17,433,383,2
3460,17,460,371,2
3477,17,463,385,2
3493,17,484,310,4
3510,17,492,391,2
3527,17,472,305,4
3543,17,512,294,4
3560,17,513,320,4
3577,17,395,460,3
3593,17,529,300,4
3610,17,397,403,2
3626,17,470,271,0
3643,17,494,352,4
3660,17,450,319,4
3676,17,524,350,4
3693,17,469,328,4
3710,17,482,339,4
3726,17,471,325,4
3743,17,470,326,4
3760,17,526,335,4
3776,17,500,331,4
3793,17,516,331,4
3809,17,512,335,4
3826,17,603,325,4
3843,17,487,343,4
3859,17,493,343,4
3876,17,493,375,2
3893,17,479,392,2
3909,17,493,376,2
3926,17,487,378,2
3943,17,473,352,4
3959,17,567,301,4
3976,17,491,312,4
3992,17,533,309,4
4009,17,559,313,4
4026,17,551,318,4
4042,17,524,320,4
4059,17,529,313,4
4076,17,506,298,4
4092,17,498,345,4
4109,17,509,321,4
4125,17,508,348,4
4142,17,489,300,4
4159,17,501,310,4
4175,17,501,319,4
4192,17,496,299,4
4209,17,503,337,4
4225,17,507,365,2
4242,17,509,295,4
4259,17,506,298,4
4275,17,514,297,4
4292,17,511,371,2
4308,17,510,354,4
4325,17,523,346,4
4342,17,518,365,2
4358,17,500,344,4
4375,17,521,371,2
4392,17,514,379,2
4408,17,515,339,4
4425,17,510,309,4
4442,17,511,365,2
4458,17,518,373,2
4475,17,518,360,4
4491,17,518,328,4
4508,17,547,361,4
4525,17,534,353,4
4541,17,535,347,4
4558,17,546,352,4
4575,17,512,362,4
4591,17,540,361,4
4608,17,547,375,2
4625,17,528,315,4
4641,17,519,340,4
4658,17,522,370,2
4674,17,528,326,4
4691,17,539,392,2
4708,17,534,337,4
4724,17,527,320,4
4741,17,534,315,4
4758,17,535,330,4
4774,17,533,333,4
4791,17,519,402,2
4808,17,529,384,2
4824,17,547,406,2
4841,17,533,368,2
4857,17,533,415,2
4874,17,532,380,2
4891,17,544,372,2
4907,17,527,420,5
4924,17,493,464,3
4941,17,519,406,2
4957,17,540,478,3
4974,17,525,415,2
4991,17,521,467,3
5007,17,519,418,5
5024,17,538,422,3
5040,17,520,416,2
5057,17,544,423,3
5074,17,493,404,2
5090,17,472,452,3
5107,17,463,475,3
5124,17,459,455,3
5140,17,468,469,3
5157,17,400,492,3
5174,17,470,450,3
5190,17,467,462,3
5207,17,468,435,3
5223,17,476,437,3
5240,17,471,448,3
5257,17,477,441,3
5273,17,475,453,3
5290,17,467,439,3
5307,17,464,440,3
5323,17,484,455,3
5340,17,456,391,2
5356,17,465,429,3
5373,17,472,422,3
5390,17,445,506,3
5406,17,450,477,3
5423,17,448,461,3
5440,17,442,485,3
5456,17,455,491,3
5473,17,460,558,3
5490,17,447,462,3
5506,17,464,500,3
5523,17,521,515,3
5539,17,536,509,3
5556,17,531,500,3
5573,17,527,512,3
5589,17,514,505,3
5606,17,521,516,3
5623,17,517,564,3
5639,17,541,535,3
5656,17,551,549,3
5673,17,587,541,3
5689,17,589,513,3
5706,17,603,525,3
5722,17,601,514,3
5739,17,620,531,3
5756,17,612,550,3
5772,17,600,543,3
5789,17,596,523,3
5806,17,616,515,3
5822,17,615,545,3
5839,17,601,535,3
5856,17,603,544,3
5872,17,596,546,3
5889,17,588,542,3
6055,166,718,763,3
6072,17,610,804,0
6088,17,604,524,3
6105,17,596,447,3
6122,17,605,517,3
6138,17,597,537,3
6155,17,593,514,3
6172,17,601,517,3
6188,17,610,533,3
6205,17,605,513,3
6222,17,589,535,3
