Time (ms),Timegap (ms),Gaze X,Gaze Y,AOI
0,0,481,254,1
17,17,474,256,1
33,17,469,239,1
50,17,472,240,1
67,17,470,262,0
83,17,469,260,0
100,17,466,265,0
116,17,468,254,1
133,17,474,251,1
150,17,474,254,1
166,17,468,262,0
183,17,470,258,1
200,17,463,267,0
216,17,471,242,1
233,17,461,272,0
250,17,462,270,0
266,17,462,281,0
283,17,468,275,0
299,17,465,274,0
316,17,468,263,0
333,17,464,264,0
349,17,463,276,0
366,17,457,267,0
383,17,464,255,1
399,17,473,252,1
416,17,464,248,1
433,17,468,248,1
449,17,463,258,1
466,17,468,251,1
482,17,463,265,0
499,17,459,266,0
516,17,461,263,0
532,17,463,275,0
549,17,452,264,0
566,17,457,259,1
582,17,456,270,0
599,17,465,264,0
615,17,468,269,0
632,17,461,265,0
649,17,464,241,1
665,17,458,273,0
682,17,462,250,1
699,17,461,260,0
715,17,469,267,0
732,17,465,259,1
749,17,461,265,0
765,17,459,247,1
782,17,459,267,0
798,17,433,269,0
815,17,402,264,0
832,17,399,240,1
848,17,400,236,1
865,17,397,234,1
882,17,392,255,1
898,17,395,246,1
915,17,400,243,1
932,17,400,252,1
948,17,395,250,1
965,17,395,244,1
981,17,397,238,1
998,17,392,250,1
1015,17,399,236,1
1031,17,398,252,1
1048,17,392,242,1
1065,17,399,233,1
1081,17,367,256,1
1098,17,343,260,0
1115,17,339,261,0
1131,17,328,268,0
1148,17,340,262,0
1164,17,341,258,1
1181,17,340,259,1
1198,17,341,273,0
1214,17,343,251,1
1231,17,342,267,0
1248,17,336,269,0
1264,17,326,265,0
1281,17,343,258,1
1298,17,338,265,0
1314,17,341,269,0
1331,17,337,269,0
1347,17,351,248,1
1364,17,341,267,0
1381,17,339,257,1
1397,17,348,272,0
1414,17,343,261,0
1431,17,331,230,1
1447,17,337,247,1
1464,17,343,256,1
1481,17,341,259,1
1497,17,339,241,1
1514,17,354,244,1
1530,17,341,275,0
1547,17,341,263,0
1564,17,348,245,1
1580,17,348,245,1
1597,17,344,266,0
1614,17,343,252,1
1630,17,346,256,1
1647,17,335,286,0
1664,17,349,254,1
1680,17,337,277,0
1697,17,336,254,1
1713,17,342,273,0
1730,17,348,273,0
1747,17,346,263,0
1763,17,332,275,0
1780,17,349,284,0
1797,17,343,280,0
1813,17,343,282,0
1830,17,348,276,0
1846,17,349,260,0
1863,17,345,257,1
1880,17,341,275,0
1896,17,341,273,0
1913,17,349,256,1
1930,17,356,240,1
1946,17,356,267,0
1963,17,346,267,0
1980,17,340,275,0
1996,17,340,280,0
2013,17,343,259,1
2029,17,343,269,0
2046,17,349,268,0
2063,17,346,268,0
2079,17,353,268,0
2096,17,357,260,0
2113,17,349,268,0
2129,17,351,282,0
2146,17,358,277,0
2163,17,339,267,0
2179,17,348,282,0
2196,17,363,256,1
2212,17,336,260,0
2229,17,350,258,1
2246,17,340,264,0
2262,17,350,284,0
2279,17,351,267,0
2296,17,354,267,0
2312,17,354,260,0
2329,17,358,267,0
2346,17,354,276,0
2362,17,365,263,0
2379,17,344,273,0
2395,17,339,283,0
2412,17,356,270,0
2429,17,351,271,0
2445,17,347,280,0
2462,17,336,278,0
2479,17,349,280,0
2495,17,354,285,0
2512,17,361,292,0
2529,17,357,280,0
2545,17,362,263,0
2562,17,356,275,0
2578,17,353,289,0
2595,17,361,250,1
2612,17,352,267,0
2628,17,362,273,0
2645,17,341,268,0
2662,17,356,261,0
2678,17,353,268,0
2695,17,338,270,0
2712,17,341,272,0
2728,17,369,285,0
2745,17,375,266,0
2761,17,383,265,0
2778,17,384,263,0
2795,17,374,295,0
2811,17,369,258,1
2828,17,372,253,1
2845,17,371,257,1
2861,17,367,269,0
2878,17,382,270,0
2894,17,372,269,0
2911,17,384,251,1
2928,17,383,264,0
2944,17,393,266,0
2961,17,370,267,0
2978,17,370,268,0
2994,17,371,286,0
