Time (ms),Timegap (ms),Gaze X,Gaze Y,AOI
0,0,462,983,0
17,17,412,883,0
33,17,391,853,0
50,17,394,867,0
67,17,392,858,0
83,17,391,862,0
100,17,393,865,0
116,17,392,863,0
133,17,393,857,0
150,17,384,859,0
166,17,394,860,0
183,17,390,864,0
200,17,388,858,0
216,17,389,860,0
233,17,390,854,0
250,17,386,857,0
266,17,385,858,0
283,17,389,852,0
299,17,391,852,0
316,17,392,859,0
333,17,392,861,0
349,17,389,855,0
366,17,395,864,0
383,17,390,855,0
399,17,389,855,0
416,17,392,838,0
433,17,384,857,0
449,17,388,854,0
466,17,392,847,0
482,17,393,851,0
499,17,438,647,3
516,17,467,576,3
532,17,499,512,3
549,17,515,484,3
566,17,517,461,3
582,17,520,453,3
599,17,528,484,3
615,17,529,472,3
632,17,534,456,3
649,17,532,484,3
665,17,538,460,3
682,17,538,469,3
699,17,541,456,3
715,17,543,468,3
732,17,556,469,3
749,17,577,935,0
765,17,697,880,0
782,17,623,656,3
798,17,608,723,3
815,17,679,759,3
832,17,613,791,0
848,17,529,970,0
865,17,602,921,0
882,17,564,981,0
898,17,520,957,0
915,17,524,982,0
932,17,519,948,0
948,17,524,869,0
965,17,455,982,0
981,17,460,1001,0
998,17,464,1020,0
1015,17,524,960,0
1031,17,527,954,0
1048,17,526,935,0
1065,17,526,1012,0
1081,17,527,938,0
1098,17,479,942,0
1115,17,462,974,0
1131,17,443,1016,0
1148,17,434,1074,0
1164,17,529,1015,0
1181,17,526,931,0
1198,17,508,903,0
1214,17,465,964,0
1231,17,497,844,0
1248,17,460,942,0
1264,17,446,994,0
1281,17,499,842,0
1298,17,492,976,0
1314,17,506,874,0
1331,17,503,864,0
1347,17,523,993,0
1364,17,420,897,0
1381,17,526,940,0
1397,17,436,956,0
1414,17,505,847,0
1431,17,439,994,0
1447,17,530,895,0
1464,17,513,936,0
1481,17,487,978,0
1497,17,458,1014,0
1514,17,423,911,0
1530,17,486,952,0
1547,17,448,981,0
1564,17,512,1024,0
1580,17,482,916,0
1597,17,510,857,0
1614,17,510,822,0
1630,17,441,973,0
1647,17,441,989,0
1664,17,507,865,0
1680,17,513,871,0
1697,17,528,815,0
1713,17,545,758,3
1730,17,531,646,3
1747,17,520,517,3
1763,17,520,474,3
1780,17,525,344,4
1797,17,532,418,5
1813,17,531,443,3
1830,17,532,466,3
1846,17,541,447,3
1863,17,540,454,3
1880,17,536,465,3
1896,17,539,454,3
1913,17,530,364,4
1930,17,533,373,2
1946,17,530,378,2
1963,17,538,377,2
1980,17,535,371,2
1996,17,535,378,2
2013,17,532,368,2
2029,17,534,365,2
2046,17,532,352,4
2063,17,537,364,4
2079,17,537,369,2
2096,17,537,355,4
2113,17,539,371,2
2129,17,536,366,2
2146,17,534,384,2
2163,17,531,345,4
2179,17,532,339,4
2196,17,528,364,4
2212,17,535,345,4
2229,17,533,343,4
2246,17,532,371,2
2262,17,535,354,4
2279,17,531,339,4
2296,17,534,369,2
2312,17,532,365,2
2329,17,533,363,4
2346,17,536,358,4
2362,17,535,349,4
2379,17,532,356,4
2395,17,536,338,4
2412,17,537,344,4
2429,17,534,370,2
2445,17,532,343,4
2462,17,536,354,4
2479,17,533,367,2
2495,17,536,368,2
2512,17,532,354,4
2529,17,535,361,4
2545,17,534,356,4
2562,17,532,369,2
2578,17,536,358,4
2595,17,531,353,4
2612,17,526,367,2
2628,17,533,358,4
2645,17,534,358,4
2662,17,539,352,4
2678,17,529,355,4
2695,17,534,353,4
2712,17,534,356,4
2728,17,538,367,2
2745,17,538,354,4
2761,17,534,358,4
2778,17,536,350,4
2795,17,536,349,4
2811,17,533,365,2
2828,17,527,328,4
2845,17,530,340,4
2861,17,522,336,4
2878,17,529,345,4
2894,17,527,332,4
2911,17,527,339,4
2928,17,527,324,4
2944,17,523,344,4
2961,17,523,340,4
2978,17,521,334,4
2994,17,523,332,4
3011,17,522,316,4
3028,17,521,325,4
3044,17,524,339,4
3061,17,519,350,4
3077,17,521,333,4
3094,17,525,326,4
3111,17,522,337,4
3127,17,525,344,4
3144,17,523,333,4
3161,17,525,334,4
3177,17,450,347,4
3194,17,417,370,2
3211,17,424,351,4
3227,17,420,361,4
3244,17,421,360,4
3260,17,422,368,2
3277,17,418,366,2
3294,17,417,376,2
3310,17,420,345,4
3327,17,412,362,0
3344,17,428,369,2
3360,17,429,351,4
3377,17,419,369,2
3394,17,408,363,0
3410,17,421,360,4
3427,17,423,370,2
3443,17,423,359,4
3460,17,425,357,4
3477,17,435,350,4
3493,17,415,357,0
3510,17,431,353,4
3527,17,431,367,2
3543,17,430,372,2
3560,17,419,376,2
3577,17,426,369,2
3593,17,418,375,2
3610,17,426,363,4
3626,17,436,377,2
3643,17,432,391,2
3660,17,443,355,4
3676,17,425,371,2
3693,17,429,372,2
3710,17,435,369,2
3726,17,433,372,2
3743,17,438,360,4
3760,17,426,354,4
3776,17,433,351,4
3793,17,427,355,4
3809,17,427,373,2
3826,17,434,355,4
3843,17,430,377,2
3859,17,433,378,2
3876,17,430,364,4
3893,17,436,368,2
3909,17,453,378,2
3926,17,553,381,2
3943,17,572,365,2
3959,17,569,364,4
3976,17,577,361,4
3992,17,573,377,2
4009,17,578,363,4
4026,17,581,363,4
4042,17,581,348,4
4059,17,575,372,2
4076,17,584,350,4
4092,17,578,369,2
4109,17,577,359,4
4125,17,574,370,2
4142,17,587,361,4
4159,17,575,374,2
4175,17,576,364,4
4192,17,580,342,4
4209,17,639,408,2
4225,17,709,413,2
4242,17,700,416,2
4259,17,713,421,3
4275,17,713,419,3
4292,17,714,418,3
4308,17,714,412,2
4325,17,714,416,2
4342,17,716,419,3
4358,17,723,412,2
4375,17,716,402,2
4392,17,721,400,2
4408,17,709,412,2
4425,17,715,404,2
4442,17,712,404,2
4458,17,715,412,2
4475,17,718,416,2
4491,17,720,397,2
4508,17,715,416,2
4525,17,718,413,2
4541,17,720,387,2
4558,17,714,412,2
4575,17,718,390,2
4591,17,717,416,2
4608,17,715,394,2
4625,17,717,405,2
4641,17,716,404,2
4658,17,716,392,2
4674,17,717,402,2
4691,17,707,413,2
4708,17,727,600,3
4724,17,717,553,3
4741,17,747,663,3
