Time (ms),Timegap (ms),Gaze X,Gaze Y,AOI
0,0,712,941,0
17,17,719,952,0
33,17,715,968,0
50,17,719,938,0
67,17,723,958,0
83,17,640,1027,0
216,133,753,929,0
233,17,737,848,0
250,17,754,858,0
266,17,747,853,0
283,17,735,861,0
299,17,737,864,0
316,17,732,873,0
349,33,730,883,0
366,17,737,877,0
383,17,729,875,0
399,17,744,878,0
416,17,741,880,0
433,17,741,875,0
449,17,742,873,0
466,17,743,880,0
482,17,735,880,0
499,17,729,873,0
516,17,728,875,0
532,17,728,883,0
549,17,737,868,0
566,17,735,876,0
582,17,738,873,0
599,17,734,877,0
615,17,727,870,0
632,17,726,875,0
649,17,744,871,0
665,17,723,880,0
682,17,738,875,0
699,17,733,870,0
715,17,736,868,0
732,17,725,855,0
749,17,730,877,0
765,17,734,873,0
782,17,730,863,0
798,17,715,868,0
815,17,728,872,0
832,17,732,868,0
848,17,732,864,0
865,17,729,867,0
882,17,720,870,0
898,17,727,860,0
915,17,723,867,0
932,17,729,859,0
948,17,731,866,0
965,17,718,878,0
981,17,730,858,0
998,17,720,862,0
1015,17,731,857,0
1031,17,724,828,0
1048,17,726,854,0
1065,17,722,843,0
1081,17,712,867,0
1098,17,719,860,0
1115,17,724,857,0
1131,17,722,843,0
1148,17,716,858,0
1164,17,724,851,0
1181,17,701,875,0
1198,17,731,848,0
1214,17,719,846,0
1231,17,715,854,0
1248,17,715,832,0
1264,17,681,661,3
1281,17,640,550,3
1298,17,603,473,3
1314,17,644,487,3
1331,17,619,487,3
1347,17,617,467,3
1364,17,625,469,3
1381,17,644,488,3
1397,17,615,468,3
1414,17,599,473,3
1431,17,579,415,2
1447,17,574,415,2
1464,17,574,423,3
1481,17,578,416,2
1497,17,577,417,2
1514,17,578,418,3
1530,17,575,409,2
1547,17,579,418,3
1564,17,584,421,3
1580,17,578,406,2
1597,17,578,413,2
1614,17,584,401,2
1630,17,582,417,2
1647,17,582,403,2
1664,17,597,390,2
1680,17,612,380,2
1697,17,599,382,2
1713,17,600,399,2
1730,17,608,391,2
1747,17,609,388,2
1763,17,599,393,2
1780,17,615,380,2
1797,17,607,393,2
1813,17,607,385,2
1830,17,620,367,2
1846,17,610,392,2
1863,17,646,374,2
1880,17,641,386,2
1896,17,634,383,2
1913,17,643,371,2
1930,17,643,385,2
1946,17,646,345,0
1963,17,648,352,0
1980,17,646,389,2
1996,17,644,362,0
2013,17,640,380,2
2029,17,650,375,2
2046,17,650,374,2
2063,17,647,371,2
2079,17,649,387,2
2096,17,648,377,2
2113,17,644,381,2
2129,17,644,396,2
2146,17,645,380,2
2163,17,646,389,2
2179,17,647,386,2
2196,17,646,381,2
2212,17,648,379,2
2229,17,645,396,2
2246,17,640,386,2
2262,17,652,388,2
2279,17,627,391,2
2296,17,554,419,5
2312,17,554,404,2
2329,17,557,387,2
2346,17,554,403,2
2362,17,555,412,2
2379,17,558,405,2
2395,17,559,390,2
2412,17,555,419,5
2429,17,552,419,5
2445,17,550,403,2
2462,17,558,401,2
