Time (ms),Timegap (ms),Gaze X,Gaze Y,AOI
0,0,272,898,0
17,17,281,926,0
33,17,272,961,0
50,17,330,933,0
67,17,278,903,0
83,17,280,923,0
100,17,273,888,0
116,17,278,909,0
133,17,277,919,0
150,17,268,928,0
166,17,275,915,0
183,17,246,507,3
200,17,284,903,0
216,17,281,902,0
233,17,274,957,0
250,17,314,1031,0
266,17,281,930,0
283,17,293,1014,0
299,17,281,919,0
316,17,281,917,0
333,17,297,922,0
349,17,286,909,0
366,17,281,922,0
383,17,301,924,0
399,17,234,954,0
416,17,277,958,0
433,17,274,936,0
449,17,289,909,0
466,17,315,532,3
482,17,282,916,0
499,17,308,1026,0
516,17,481,1015,0
532,17,456,933,0
549,17,523,901,0
566,17,403,882,0
582,17,526,902,0
599,17,466,1014,0
615,17,511,913,0
632,17,508,975,0
649,17,515,1044,0
665,17,519,895,0
682,17,517,808,0
699,17,517,938,0
715,17,438,1069,0
732,17,522,906,0
749,17,453,942,0
765,17,463,918,0
782,17,329,913,0
798,17,404,922,0
815,17,335,920,0
832,17,462,904,0
848,17,336,972,0
865,17,465,832,0
882,17,466,787,0
898,17,399,996,0
915,17,331,906,0
932,17,384,1041,0
948,17,449,1022,0
965,17,363,991,0
981,17,417,991,0
998,17,465,1000,0
1015,17,463,887,0
1031,17,467,878,0
1048,17,441,1052,0
1065,17,336,1061,0
1081,17,447,765,3
1098,17,428,683,3
1115,17,423,1013,0
1131,17,213,987,0
1148,17,429,955,0
1181,33,509,765,3
1198,17,368,742,3
1214,17,452,540,3
1231,17,486,464,3
1248,17,499,317,4
1264,17,499,285,0
1281,17,482,322,4
1298,17,496,343,4
1314,17,480,374,2
1331,17,495,370,2
1347,17,503,373,2
1364,17,483,358,4
1381,17,495,355,4
1397,17,518,343,4
1414,17,518,337,4
1431,17,523,345,4
1447,17,528,338,4
1464,17,524,334,4
1481,17,528,348,4
1497,17,520,343,4
1514,17,532,325,4
1530,17,531,332,4
1547,17,525,352,4
1564,17,545,338,4
1580,17,569,328,4
1597,17,567,327,4
1614,17,564,329,4
1630,17,563,324,4
1647,17,553,346,4
1664,17,564,343,4
1680,17,564,319,4
1697,17,571,315,4
1713,17,562,339,4
1730,17,573,351,4
1747,17,565,344,4
1763,17,598,333,4
1780,17,636,311,0
1797,17,628,294,0
1813,17,635,287,0
1830,17,623,346,0
1846,17,627,329,0
1863,17,626,314,0
1880,17,634,318,0
1896,17,629,311,0
1913,17,624,332,0
1930,17,623,326,0
1946,17,620,309,0
1963,17,618,341,0
1980,17,625,306,0
1996,17,625,305,0
2013,17,625,309,0
2029,17,625,302,0
2046,17,624,327,0
2063,17,632,322,0
2079,17,632,312,0
2096,17,619,325,0
2113,17,634,273,0
2129,17,633,309,0
2146,17,629,326,0
2163,17,627,322,0
2179,17,637,308,0
2196,17,631,307,0
2212,17,621,310,0
2229,17,627,319,0
2246,17,631,335,0
2262,17,581,314,4
2279,17,557,311,4
2296,17,554,302,4
2312,17,554,299,4
2329,17,544,332,4
2346,17,540,291,4
2362,17,552,311,4
2379,17,552,307,4
2395,17,551,311,4
2412,17,557,312,4
2429,17,544,320,4
2445,17,530,354,4
2462,17,541,310,4
2479,17,551,306,4
2495,17,547,325,4
2512,17,557,312,4
2529,17,536,292,4
2545,17,551,291,4
2562,17,537,293,4
2578,17,540,318,4
2595,17,543,334,4
2612,17,541,313,4
2628,17,539,283,0
2662,33,529,326,4
2678,17,534,295,4
2695,17,535,308,4
2712,17,541,300,4
2728,17,539,319,4
2745,17,527,327,4
2761,17,541,333,4
2778,17,546,333,4
2795,17,542,308,4
2811,17,541,327,4
2828,17,537,326,4
2845,17,541,328,4
2861,17,532,327,4
2878,17,521,290,4
2894,17,530,309,4
2911,17,532,296,4
2928,17,535,318,4
2944,17,530,326,4
2961,17,534,340,4
2978,17,550,319,4
2994,17,546,323,4
3011,17,540,358,4
3028,17,546,353,4
3044,17,532,338,4
3061,17,533,341,4
3077,17,538,330,4
3094,17,544,323,4
3111,17,553,348,4
3127,17,537,314,4
3144,17,558,335,4
3161,17,552,303,4
3177,17,547,300,4
3194,17,540,303,4
3211,17,547,316,4
3227,17,536,331,4
3244,17,536,349,4
3260,17,539,333,4
3277,17,540,333,4
3294,17,537,304,4
3310,17,549,336,4
3327,17,530,342,4
3344,17,512,349,4
3360,17,513,347,4
3377,17,503,311,4
3394,17,506,361,4
3410,17,504,344,4
3427,17,502,353,4
3443,17,511,346,4
3460,17,504,379,2
3477,17,507,329,4
3493,17,505,373,2
3510,17,505,345,4
3527,17,521,421,5
3543,17,520,404,2
3560,17,512,399,2
3577,17,515,405,2
3593,17,514,417,5
3610,17,518,401,2
3626,17,515,395,2
3643,17,513,399,2
3660,17,514,395,2
3676,17,513,400,2
3693,17,505,398,2
3710,17,514,429,3
3726,17,512,391,2
3743,17,515,433,3
3760,17,509,433,3
3776,17,513,441,3
3793,17,515,412,2
3809,17,517,442,3
3826,17,519,435,3
3843,17,515,425,3
3859,17,509,426,3
3876,17,511,427,3
3893,17,519,401,2
3909,17,548,442,3
3926,17,616,483,3
3943,17,678,493,3
3959,17,666,501,3
3976,17,674,495,3
3992,17,667,483,3
4009,17,673,511,3
4026,17,677,511,3
4042,17,662,512,3
4059,17,671,504,3
4076,17,651,509,3
4092,17,669,511,3
4109,17,667,503,3
4125,17,669,516,3
4142,17,662,505,3
4159,17,647,497,3
4175,17,666,506,3
4192,17,658,482,3
4209,17,656,512,3
4225,17,653,494,3
4242,17,656,501,3
4259,17,651,509,3
4275,17,660,515,3
4292,17,657,506,3
4308,17,657,508,3
4325,17,661,511,3
4342,17,664,506,3
4358,17,668,526,3
4375,17,649,520,3
4392,17,586,368,2
4408,17,538,289,4
4425,17,528,354,4
4442,17,528,345,4
4458,17,527,344,4
4475,17,529,348,4
4491,17,526,323,4
4508,17,529,308,4
4525,17,520,329,4
4541,17,528,337,4
4558,17,524,349,4
4575,17,527,330,4
4591,17,530,340,4
4608,17,527,346,4
4625,17,522,322,4
4641,17,464,744,3
4791,150,454,705,3
4824,33,458,693,3
4857,33,462,547,3
4874,17,475,495,3
4891,17,470,523,3
4907,17,503,447,3
4924,17,505,398,2
4941,17,485,355,4
4957,17,497,329,4
4974,17,504,234,1
4991,17,505,334,4
5007,17,499,296,4
5024,17,483,336,4
5040,17,498,293,4
5057,17,488,331,4
5074,17,487,315,4
5090,17,503,332,4
5107,17,479,311,4
5124,17,499,287,0
5140,17,506,331,4
5157,17,498,306,4
5174,17,485,278,0
5190,17,487,275,0
5207,17,502,275,0
5223,17,498,291,4
5240,17,509,286,0
5257,17,561,327,4
5273,17,545,301,4
5290,17,545,275,0
5307,17,534,323,4
5323,17,543,319,4
5340,17,550,334,4
5356,17,539,334,4
5373,17,548,292,4
5390,17,558,246,1
5406,17,552,302,4
5423,17,543,295,4
5440,17,546,286,0
5456,17,549,304,4
5473,17,543,282,0
5490,17,534,274,0
5506,17,540,270,0
5523,17,538,256,1
5539,17,525,310,4
5556,17,533,291,4
5573,17,545,273,0
5589,17,544,279,0
5606,17,535,301,4
5623,17,538,335,4
5639,17,532,259,1
5656,17,514,311,4
5673,17,470,318,4
5689,17,480,308,4
5706,17,476,333,4
5722,17,341,517,3
5739,17,474,305,4
5756,17,464,320,4
5772,17,463,366,2
5789,17,479,350,4
5806,17,492,337,4
5839,33,490,317,4
5856,17,494,373,2
5872,17,490,390,2
5889,17,482,379,2
5905,17,484,357,4
5939,33,464,385,2
5972,33,484,319,4
5989,17,484,304,4
6022,33,469,333,4
6039,17,468,341,4
6055,17,488,325,4
6072,17,377,477,3
6088,17,476,367,2
6105,17,475,311,4
6122,17,486,331,4
6138,17,481,322,4
6155,17,484,376,2
6172,17,471,322,4
6188,17,483,344,4
6205,17,486,350,4
6222,17,483,336,4
6238,17,479,343,4
6255,17,482,311,4
6271,17,487,376,2
6288,17,477,353,4
6305,17,495,345,4
6321,17,505,330,4
6338,17,511,364,4
6355,17,511,347,4
6371,17,494,339,4
6388,17,499,370,2
6404,17,525,382,2
6421,17,516,374,2
6438,17,476,511,3
6454,17,502,354,4
6471,17,508,346,4
6488,17,510,322,4
6504,17,519,368,2
6521,17,517,391,2
6538,17,516,356,4
6554,17,513,356,4
6571,17,521,368,2
6587,17,523,339,4
6604,17,516,363,4
6621,17,523,319,4
6637,17,521,389,2
6654,17,511,395,2
6671,17,514,365,2
6687,17,511,356,4
6704,17,518,346,4
6721,17,513,368,2
6737,17,516,337,4
6754,17,514,348,4
6770,17,525,333,4
6787,17,523,339,4
6804,17,520,329,4
6820,17,521,314,4
6837,17,532,280,0
6854,17,517,337,4
6870,17,526,291,4
6887,17,526,335,4
6904,17,519,358,4
6920,17,517,336,4
6937,17,527,319,4
6970,0,525,359,4
6970,33,525,359,4
6987,17,530,327,4
7003,17,430,420,3
7020,17,511,342,4
7037,17,522,332,4
7053,17,520,310,4
7070,17,516,359,4
7087,17,523,331,4
7103,17,521,357,4
7120,17,530,314,4
7136,17,521,292,4
7153,17,523,331,4
7170,17,522,332,4
7186,17,521,326,4
7203,17,518,341,4
7220,17,518,316,4
7236,17,517,327,4
7253,17,515,367,2
7270,17,516,341,4
7286,17,507,361,4
7303,17,520,365,2
7319,17,500,381,2
7336,17,494,387,2
7353,17,467,390,2
7369,17,471,354,4
7386,17,445,389,2
7403,17,480,412,2
7419,17,462,388,2
7436,17,474,371,2
7453,17,478,349,4
7469,17,482,315,4
7486,17,480,351,4
7502,17,482,396,2
7519,17,481,389,2
7536,17,477,374,2
7552,17,476,369,2
7569,17,485,351,4
7586,17,466,387,2
7602,17,472,392,2
7635,33,468,389,2
7652,17,470,392,2
7669,17,469,403,2
7685,17,468,377,2
7702,17,468,361,4
7719,17,469,361,4
7735,17,472,364,4
7752,17,480,342,4
7769,17,475,357,4
7785,17,482,363,4
7802,17,480,356,4
7818,17,518,378,2
7835,17,517,396,2
7852,17,529,460,3
7868,17,533,386,2
7885,17,535,373,2
7902,17,538,368,2
7918,17,533,391,2
7935,17,529,371,2
7952,17,539,386,2
7968,17,534,385,2
7985,17,530,385,2
8001,17,529,374,2
8018,17,530,380,2
8035,17,526,406,2
8051,17,528,415,2
8068,17,529,411,2
8085,17,531,368,2
8101,17,527,389,2
8118,17,531,395,2
8135,17,469,419,3
8151,17,404,390,2
8168,17,418,399,2
8184,17,424,405,2
8201,17,430,393,2
8218,17,420,461,3
8234,17,429,399,2
8251,17,432,393,2
8268,17,441,394,2
8284,17,438,392,2
8301,17,428,382,2
8318,17,423,413,2
8334,17,429,392,2
8351,17,425,401,2
8367,17,405,407,2
8384,17,421,420,3
8401,17,430,396,2
8417,17,435,381,2
8434,17,436,391,2
8451,17,440,369,2
8467,17,428,391,2
8484,17,437,395,2
8501,17,438,391,2
8517,17,440,387,2
8534,17,426,370,2
8550,17,442,380,2
8567,17,438,401,2
8584,17,438,381,2
8600,17,428,398,2
8617,17,427,406,2
8634,17,439,386,2
8650,17,429,376,2
8667,17,425,391,2
8683,17,455,351,4
8700,17,473,371,2
8717,17,487,359,4
8733,17,500,344,4
8750,17,501,355,4
8767,17,498,352,4
8783,17,481,350,4
8800,17,491,366,2
8817,17,492,340,4
8833,17,497,332,4
8850,17,494,363,4
8866,17,499,358,4
8883,17,505,355,4
8900,17,503,367,2
8916,17,506,367,2
8933,17,505,351,4
8950,17,491,363,4
8966,17,502,350,4
8983,17,505,347,4
9000,17,498,379,2
9016,17,515,352,4
9099,83,488,350,4
9149,50,490,342,4
9199,50,486,339,4
9216,17,479,369,2
9249,0,371,393,2
9249,33,371,393,2
9266,17,382,440,3
9282,17,374,447,3
9299,17,373,428,3
9316,17,373,428,3
9332,17,367,590,3
9349,17,369,510,3
9366,17,373,432,3
9382,17,338,802,0
9399,17,372,420,3
9415,17,369,399,2
9432,17,374,396,2
9499,67,1005,750,3
9615,116,362,375,2
9632,17,356,363,0
9732,100,366,369,2
9748,17,380,369,2
9765,17,374,401,2
9781,17,372,434,3
9815,33,372,375,2
9831,17,376,367,2
9848,17,373,372,2
9865,17,369,370,2
9881,17,372,372,2
9898,17,374,366,2
9914,17,386,409,2
9931,17,378,296,0
9948,17,364,456,3
9964,17,389,505,3
9981,17,445,516,3
9998,17,532,507,3
10014,17,573,422,3
10031,17,548,418,5
10048,17,584,370,2
10064,17,592,312,4
10081,17,565,349,4
10097,17,563,384,2
10114,17,555,389,2
10131,17,561,371,2
10147,17,569,356,4
10164,17,573,351,4
10181,17,557,343,4
10197,17,570,377,2
10214,17,560,368,2
10231,17,555,356,4
10247,17,557,361,4
10264,17,563,376,2
10280,17,563,300,4
10297,17,560,385,2
10314,17,567,314,4
10330,17,574,344,4
10347,17,577,284,0
10364,17,527,355,4
10380,17,522,385,2
10397,17,525,402,2
10414,17,447,399,2
10430,17,522,380,2
10447,17,519,396,2
10463,17,523,331,4
10480,17,521,351,4
10497,17,526,348,4
10513,17,529,345,4
10547,33,522,373,2
10613,67,518,371,2
10630,17,524,326,4
10663,33,529,368,2
10680,17,526,352,4
10696,17,520,378,2
10713,17,529,340,4
10730,17,555,269,0
10746,17,549,296,4
10763,17,558,262,0
10780,17,558,325,4
10796,17,572,313,4
10813,17,550,298,4
10829,17,540,278,0
10846,17,538,313,4
10863,17,562,317,4
10929,0,545,265,0
10929,67,545,265,0
10946,17,533,308,4
10962,17,542,294,4
10979,17,530,326,4
10996,17,538,286,0
11012,17,548,316,4
11029,17,537,276,0
11046,17,530,342,4
11062,17,537,361,4
11096,33,529,360,4
11112,17,525,346,4
11145,33,521,389,2
11162,17,525,403,2
11179,17,532,383,2
11195,17,520,375,2
11212,17,530,369,2
11229,17,513,366,2
11245,17,534,303,4
11262,17,555,284,0
11279,17,552,301,4
11295,17,545,330,4
11312,17,546,343,4
11328,17,536,306,4
11345,17,544,293,4
11362,17,539,312,4
11378,17,504,318,4
11395,17,494,305,4
11412,17,494,291,4
11428,17,486,308,4
11445,17,498,279,0
11462,17,504,262,0
11478,17,503,238,1
11495,17,512,266,0
