Time (ms),Timegap (ms),Gaze X,Gaze Y,AOI
0,0,587,426,3
17,17,587,439,3
33,17,583,452,3
50,17,588,426,3
67,17,587,442,3
83,17,600,491,3
100,17,688,455,3
116,17,732,522,3
133,17,801,480,3
150,17,792,478,3
166,17,797,470,3
183,17,799,461,3
200,17,790,472,3
216,17,790,474,3
233,17,798,468,3
250,17,795,463,3
266,17,793,468,3
283,17,800,478,3
299,17,808,446,3
316,17,793,494,3
333,17,785,467,3
349,17,791,459,3
366,17,799,448,3
383,17,808,470,3
399,17,790,473,3
416,17,753,407,2
433,17,675,396,2
449,17,651,556,3
466,17,664,454,3
482,17,706,256,1
499,17,702,197,1
516,17,696,250,1
532,17,703,266,0
549,17,701,265,0
566,17,702,251,1
582,17,702,258,1
599,17,700,265,0
615,17,701,252,1
632,17,699,244,1
649,17,711,266,0
665,17,691,255,1
682,17,697,258,1
699,17,695,252,1
715,17,702,241,1
732,17,701,248,1
749,17,697,276,0
765,17,690,310,0
782,17,675,580,3
798,17,330,464,3
932,133,511,717,3
948,17,552,676,3
965,17,478,644,3
981,17,626,602,3
998,17,661,571,3
1015,17,574,563,3
1031,17,586,538,3
1048,17,579,572,3
1065,17,589,541,3
1081,17,580,547,3
1098,17,582,551,3
1115,17,584,571,3
1131,17,580,579,3
1148,17,606,540,3
1164,17,619,634,3
1181,17,525,1006,0
1347,166,740,89,0
1364,17,733,491,3
1381,17,735,292,0
1397,17,749,130,0
1414,17,760,45,0
1431,17,748,85,0
1447,17,726,154,1
1464,17,733,165,0
1481,17,728,166,1
1497,17,665,239,1
1514,17,619,320,0
1530,17,601,358,4
1547,17,611,325,4
1564,17,600,363,4
1580,17,602,366,2
1597,17,604,349,4
1614,17,600,361,4
1630,17,603,360,4
1647,17,606,339,4
1664,17,608,333,4
1680,17,606,327,4
1697,17,607,341,4
1713,17,611,331,4
1730,17,616,302,0
1747,17,616,319,0
1763,17,548,353,4
1780,17,498,344,4
1797,17,483,346,4
1813,17,480,347,4
1830,17,499,334,4
1846,17,489,339,4
1863,17,487,348,4
1880,17,491,329,4
1896,17,488,340,4
1913,17,496,320,4
1930,17,498,321,4
1946,17,464,339,4
1963,17,461,340,4
1980,17,469,335,4
1996,17,458,333,4
2013,17,468,339,4
2029,17,464,339,4
2046,17,472,318,4
2063,17,461,336,4
2079,17,462,311,4
2096,17,469,339,4
2113,17,462,334,4
2129,17,467,354,4
2146,17,467,339,4
2163,17,464,331,4
2179,17,467,339,4
2196,17,464,339,4
2212,17,458,344,4
2229,17,461,339,4
2246,17,460,325,4
2262,17,459,330,4
2279,17,496,337,4
2296,17,571,309,4
2312,17,582,293,4
2329,17,580,296,4
2346,17,581,301,4
2362,17,579,292,4
2379,17,578,306,4
2395,17,544,534,3
2529,133,462,208,1
2545,17,522,581,3
2562,17,543,296,4
2578,17,593,292,4
2595,17,607,208,1
2612,17,601,212,1
2628,17,595,321,4
2645,17,592,314,4
2662,17,595,319,4
2678,17,603,321,4
2695,17,587,353,4
2712,17,589,329,4
2728,17,588,313,4
2745,17,597,336,4
2761,17,587,338,4
2778,17,596,314,4
2795,17,585,328,4
2811,17,590,333,4
2828,17,589,329,4
2845,17,589,341,4
2861,17,592,342,4
2878,17,585,344,4
2894,17,593,318,4
2911,17,589,334,4
2928,17,586,356,4
2944,17,583,361,4
2961,17,588,343,4
2978,17,582,336,4
2994,17,583,342,4
3011,17,572,407,2
3028,17,498,859,0
3144,116,574,180,1
3161,17,534,218,1
3177,17,599,214,1
3194,17,565,276,0
3211,17,596,178,1
3227,17,605,127,0
3244,17,581,299,4
3260,17,582,299,4
3277,17,581,306,4
3294,17,584,314,4
3310,17,583,305,4
3327,17,581,313,4
3344,17,582,313,4
3360,17,586,292,4
3377,17,582,306,4
3394,17,578,315,4
3410,17,583,298,4
3427,17,575,331,4
3443,17,580,300,4
3460,17,578,299,4
3477,17,577,307,4
3493,17,585,347,4
3510,17,598,325,4
3527,17,594,331,4
3543,17,592,309,4
3560,17,595,330,4
3577,17,596,315,4
3593,17,594,314,4
3610,17,596,317,4
3626,17,590,330,4
3643,17,588,346,4
3660,17,593,327,4
3676,17,594,320,4
3693,17,587,341,4
3710,17,586,360,4
3726,17,583,344,4
3743,17,585,361,4
3760,17,579,372,2
3776,17,585,370,2
3793,17,582,373,2
3809,17,583,387,2
3826,17,586,350,4
3843,17,577,360,4
3859,17,584,370,2
3876,17,586,368,2
3893,17,582,373,2
3909,17,587,363,4
3926,17,585,343,4
3943,17,587,358,4
3959,17,582,358,4
3976,17,582,362,4
3992,17,582,372,2
4009,17,584,365,2
4026,17,582,357,4
4042,17,642,405,2
4059,17,723,364,0
4076,17,733,377,2
4092,17,738,372,2
4109,17,744,360,0
4125,17,735,355,0
4142,17,735,367,2
4159,17,739,353,0
4175,17,747,344,0
4192,17,766,378,2
4209,17,771,370,2
4225,17,776,396,2
4242,17,776,376,2
4259,17,770,369,2
4275,17,765,361,0
4292,17,772,368,2
4308,17,773,370,2
4325,17,769,387,2
4342,17,769,379,2
4358,17,778,365,2
4375,17,774,365,2
4392,17,775,372,2
4408,17,773,351,0
4425,17,761,344,0
4442,17,703,255,1
4458,17,668,224,1
4475,17,670,221,1
4491,17,673,207,1
4508,17,673,203,1
4525,17,672,203,1
4541,17,665,221,1
4558,17,673,226,1
4575,17,665,229,1
4591,17,666,204,1
4608,17,668,235,1
4625,17,663,217,1
4641,17,665,227,1
4658,17,669,224,1
4674,17,677,214,1
4691,17,662,244,1
4708,17,664,227,1
4724,17,664,207,1
4741,17,679,206,1
4758,17,663,237,1
4774,17,660,241,1
4791,17,665,221,1
4808,17,675,210,1
4824,17,663,226,1
4841,17,670,216,1
4857,17,663,210,1
4874,17,658,199,1
4891,17,650,178,1
4907,17,656,166,1
4924,17,649,189,1
4941,17,652,175,1
4957,17,653,199,1
4974,17,658,177,1
4991,17,648,186,1
5007,17,659,173,1
5024,17,650,186,1
5040,17,651,183,1
5057,17,654,183,1
5074,17,658,164,1
5090,17,654,159,1
5107,17,649,177,1
5124,17,655,181,1
5140,17,657,184,1
5157,17,651,190,1
5174,17,647,187,1
5190,17,647,189,1
5207,17,625,281,0
5223,17,614,305,0
5240,17,614,336,0
5257,17,606,324,4
5273,17,609,332,4
5290,17,613,304,0
5307,17,614,308,0
5323,17,614,302,0
5340,17,604,337,4
5356,17,608,329,4
5373,17,607,338,4
5390,17,606,352,4
5406,17,610,313,4
5423,17,605,336,4
5440,17,610,326,4
5456,17,610,312,4
5473,17,606,348,4
5490,17,612,332,4
5506,17,612,327,4
5523,17,612,327,4
5539,17,609,309,4
5556,17,610,325,4
5573,17,607,310,4
5589,17,607,325,4
5606,17,609,311,4
5623,17,607,322,4
5639,17,607,318,4
5656,17,606,328,4
5673,17,607,338,4
5689,17,605,346,4
5706,17,612,345,4
5722,17,609,339,4
5739,17,610,320,4
5756,17,606,327,4
5772,17,612,318,4
5789,17,607,333,4
5806,17,611,324,4
5822,17,609,314,4
5839,17,608,318,4
5856,17,604,329,4
5872,17,611,336,4
5889,17,601,329,4
5905,17,606,316,4
5922,17,608,310,4
5939,17,609,319,4
5955,17,606,313,4
5972,17,602,333,4
5989,17,605,330,4
6005,17,607,329,4
6022,17,599,331,4
6039,17,607,327,4
6055,17,605,326,4
6072,17,607,342,4
6088,17,601,349,4
6105,17,606,347,4
6122,17,606,332,4
6138,17,602,337,4
6155,17,606,337,4
6172,17,571,668,3
6188,17,541,167,1
6255,67,501,366,2
6271,17,524,886,0
6288,17,511,360,4
6305,17,510,367,2
6321,17,507,366,2
6338,17,501,361,4
6355,17,596,358,4
6371,17,613,254,1
6388,17,616,192,1
6404,17,611,219,1
6421,17,595,353,4
6438,17,600,364,4
6454,17,598,352,4
6471,17,567,350,4
6488,17,575,353,4
6504,17,575,350,4
6521,17,570,364,4
6538,17,570,358,4
6554,17,566,355,4
6571,17,562,359,4
6587,17,569,345,4
6604,17,567,348,4
6621,17,566,362,4
6637,17,569,358,4
6654,17,573,311,4
6671,17,453,893,0
6820,150,542,172,1
6837,17,494,729,3
6854,17,494,306,4
6870,17,484,295,4
6887,17,587,251,1
6904,17,589,216,1
6920,17,581,237,1
6937,17,577,316,4
6953,17,576,310,4
6970,17,574,322,4
6987,17,581,310,4
7003,17,582,302,4
7020,17,577,317,4
7037,17,579,325,4
7053,17,574,330,4
7070,17,586,320,4
7087,17,588,307,4
7103,17,589,321,4
7120,17,578,320,4
7136,17,584,319,4
7153,17,584,320,4
7170,17,583,299,4
7186,17,585,311,4
7203,17,575,334,4
7220,17,583,319,4
7236,17,575,331,4
7253,17,578,312,4
7270,17,585,303,4
7286,17,580,313,4
7303,17,577,328,4
7319,17,578,322,4
7336,17,576,319,4
7353,17,575,322,4
7369,17,579,322,4
7386,17,583,309,4
7403,17,581,315,4
7419,17,582,317,4
7436,17,583,300,4
7453,17,580,321,4
7469,17,578,325,4
7486,17,574,322,4
7502,17,551,324,4
7519,17,518,309,4
7536,17,528,299,4
7552,17,515,297,4
7569,17,513,299,4
7586,17,533,289,4
7602,17,526,295,4
7619,17,513,317,4
7635,17,509,311,4
7652,17,523,291,4
